customer_account_key,customer_name,customer_tier,helpdesk_ticket_ref,case_code,case_opened_ts,case_closed_ts,intake_channel,case_priority,case_subject,activity_id,event_occurred_ts,platform_name,activity_kind,performed_by_role,normalized_action,normalized_outcome,activity_detail,context_rating,response_rating,request_fulfilled,diagnostic_request_id,miss_count,missing_item_total,qa_severity,response_due_ts,missing_artifacts,attachment_list
acct_harborspan,HarborSpan Retail Ops,mid_market,hubspot_99031,HS-99031,2026-03-04T08:10:00+00:00,2026-03-05T16:20:00+00:00,email,normal,Return feed mismatch after warehouse code update,act_99031_01,2026-03-04T08:12:00+00:00,hubspot_service,ticket_comment,requester,ticket_opened,issue_reported,"Operations shared the failing return batch, the warehouse code cutover time, and one affected SKU in the opening note.",complete,,,,,,,,,warehouse-code-diff.csv
acct_harborspan,HarborSpan Retail Ops,mid_market,hubspot_99031,HS-99031,2026-03-04T08:10:00+00:00,2026-03-05T16:20:00+00:00,email,normal,Return feed mismatch after warehouse code update,act_99031_02,2026-03-04T08:40:00+00:00,hubspot_service,ticket_comment,agent,requested_diagnostics,diagnostics_requested,Support requested a failing return payload sample and the current warehouse code table.,,,,diag-99031,,,,,return-payload-sample|warehouse-code-table,
acct_harborspan,HarborSpan Retail Ops,mid_market,hubspot_99031,HS-99031,2026-03-04T08:10:00+00:00,2026-03-05T16:20:00+00:00,email,normal,Return feed mismatch after warehouse code update,act_99031_03,2026-03-04T11:05:00+00:00,hubspot_service,ticket_comment,requester,provided_requested_info,requested_artifacts_uploaded,The customer uploaded the requested payload sample and code table before midday.,,complete,true,diag-99031,,,,,,"return-payload.json|warehouse-codes.csv"
acct_harborspan,HarborSpan Retail Ops,mid_market,hubspot_99031,HS-99031,2026-03-04T08:10:00+00:00,2026-03-05T16:20:00+00:00,email,normal,Return feed mismatch after warehouse code update,act_99031_04,2026-03-05T16:20:00+00:00,hubspot_service,status_change,requester,confirmed_fix,return_feed_restored,The requester confirmed the return feed processed normally after the code table refresh.,,,,,,,,,,
acct_harborspan,HarborSpan Retail Ops,mid_market,jira_99308,HS-99308,2026-03-22T09:00:00+00:00,2026-03-25T14:45:00+00:00,chat,high,Reopened barcode routing issue after prior closure,jira_evt_99308_01,2026-03-22T09:03:00+00:00,jira_service_management,ticket_comment,requester,ticket_opened,issue_reopened,The warehouse lead reopened the routing issue and said the prior fix stopped working on the next shift.,useful,,,,,,,,,
acct_harborspan,HarborSpan Retail Ops,mid_market,jira_99308,HS-99308,2026-03-22T09:00:00+00:00,2026-03-25T14:45:00+00:00,chat,high,Reopened barcode routing issue after prior closure,jira_evt_99308_02,2026-03-23T12:10:00+00:00,jira_service_management,ticket_comment,requester,followed_up_without_requested_info,reply_missing_requested_artifacts,The customer replied that scans were still failing but did not attach the requested device video.,,,,,,1,,,scanner_video,
acct_horizonmed,HorizonMed Claims,enterprise,sfdc_55104,HM-55104,2026-04-01T10:15:00+00:00,2026-04-03T18:30:00+00:00,web,high,Claims export retry still missing signed audit bundle,sfdc_evt_55104_01,2026-04-01T10:18:00+00:00,salesforce_service_cloud,ticket_comment,requester,ticket_opened,issue_reported,"The escalation note named the affected retry job, the payer batch, and the certificate rotation window.",useful,,,,,,,,,
acct_horizonmed,HorizonMed Claims,enterprise,sfdc_55104,HM-55104,2026-04-01T10:15:00+00:00,2026-04-03T18:30:00+00:00,web,high,Claims export retry still missing signed audit bundle,sfdc_evt_55104_02,2026-04-03T18:20:00+00:00,workflow_orchestrator,system_timer,system,request_deadline_missed,signed_audit_bundle_not_received,The requested signed audit bundle was still missing at the follow-up deadline.,,,,diag-55104,1,,,"2026-04-03T18:00:00+00:00",signed_audit_bundle|claim_row_pair,
acct_lakeforge,Lakeforge Commerce,smb,zd_77112,LF-77112,2026-02-14T13:05:00+00:00,2026-02-17T11:00:00+00:00,email,normal,Reopened tax mapping dispute conflicts with prior QA evidence,zd_evt_77112_01,2026-02-14T13:08:00+00:00,zendesk,ticket_comment,requester,ticket_opened,issue_reopened,The merchant reopened the tax mapping dispute and claimed the earlier manual correction never applied.,useful,,,,,,,,,
acct_lakeforge,Lakeforge Commerce,smb,zd_77112,LF-77112,2026-02-14T13:05:00+00:00,2026-02-17T11:00:00+00:00,email,normal,Reopened tax mapping dispute conflicts with prior QA evidence,zd_evt_77112_02,2026-02-17T10:40:00+00:00,qa_console,qa_review,qa,qa_marked_contradiction,claim_conflicts_with_prior_resolution,QA compared the reopen claim against the earlier signed correction evidence and marked it as conflicting.,,,,,,,high,,,
